ASSEMBLY open=0 nm=0 folds_ui=0 wt=1
ASSEMBLY foldedPolys=0 structured=0/3052 floor=0
ASSEMBLY failedFloor=0 raw=0
OBJ051 faces=4 polys=14 q=12 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=2 PASS 
OBJ052 faces=6 polys=74 q=72 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=4 PASS 
OBJ053 faces=23 polys=88 q=76 t=0 n=12 folds=0 floor=0 raw=0 min=14 coons=9 rev=0 PASS 
OBJ054 faces=6 polys=48 q=34 t=0 n=14 folds=0 floor=0 raw=0 min=0 coons=0 rev=3 PASS 
OBJ055 faces=15 polys=29 q=23 t=0 n=6 folds=0 floor=0 raw=0 min=11 coons=2 rev=2 PASS 
OBJ056 faces=103 polys=1210 q=1160 t=48 n=2 folds=0 floor=0 raw=0 min=2 coons=2 rev=99 PASS 
OBJ057 faces=103 polys=1210 q=1160 t=48 n=2 folds=0 floor=0 raw=0 min=2 coons=50 rev=51 PASS 
OBJ058 faces=10 polys=101 q=88 t=0 n=13 folds=0 floor=0 raw=0 min=5 coons=2 rev=2 PASS 
OBJ059 faces=4 polys=50 q=48 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=2 PASS 
OBJ060 faces=5 polys=14 q=7 t=1 n=6 folds=0 floor=0 raw=0 min=4 coons=0 rev=1 PASS 
OBJ061 faces=5 polys=14 q=7 t=1 n=6 folds=0 floor=0 raw=0 min=4 coons=0 rev=1 PASS 
OBJ062 faces=3 polys=8 q=6 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=1 PASS 
OBJ063 faces=8 polys=18 q=13 t=0 n=5 folds=0 floor=0 raw=0 min=6 coons=2 rev=0 PASS 
OBJ064 faces=3 polys=8 q=6 t=0 n=2 folds=0 floor=0 raw=0 min=2 coons=0 rev=1 PASS 
OBJ065 faces=9 polys=126 q=94 t=2 n=30 folds=0 floor=0 raw=0 min=1 coons=0 rev=5 PASS 
