kind	id	family	support	strategy	trim	conditions
curve	3803	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3804	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3806	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3807	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3811	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3813	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3822	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3824	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3981	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3982	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3984	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3985	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3991	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	3992	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4199	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4207	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4290	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4293	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4631	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4640	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4913	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4944	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4948	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4953	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4963	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4966	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4971	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4978	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4983	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4994	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	4996	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5001	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5007	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5016	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5076	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5086	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5096	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5099	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5142	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
